index,hash,key,description,english value,translated value
689,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'restorePurchasesText']",A button to restore any in-game purchases that have been made,Restore Purchases,Palauta ostokset
690,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack1Text']","name for ticket pack 1 of 6 (smallest) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Small Ticket Pack,Pieni lippupaketti
691,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack2Text']","name for ticket pack 2 of 6 (second smallest) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Medium Ticket Pack,Keskikokoinen lippupaketti
692,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack3Text']","name for ticket pack 3 of 6 (lower mid-size) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Large Ticket Pack,Suuri lippupaketti
693,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack4Text']","name for ticket pack 4 of 6 (upper mid-size) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Jumbo Ticket Pack,Jumbo-lippupaketti
694,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack5Text']","name for ticket pack 5 of 6 (second biggest) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Mammoth Ticket Pack,Mammoth-lippupaketti
695,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketPack6Text']","name for ticket pack 6 of 6 (biggest) - currently only 4 of these 6 are being used but that may change..
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",Ultimate Ticket Pack,Ultimate Ticket Pack
696,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketsFromASponsorText']","label for a button for getting free tickets by watching an ad
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png","Watch an ad
for ${COUNT} tickets","Katso mainos
${COUNT} lipulle"
697,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'ticketsText']",Displaying some number of tickets,${COUNT} Tickets,${COUNT} Liput
698,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'titleText']","Title for a window showing different ways to get tickets, which are an in-game currency",Get Tickets,Hanki liput
699,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'unavailableLinkAccountText']",An error message printed on platforms where ticket packs cannot be purchased (suggesting linking to another account on another platform where they can be purchased),"Sorry, purchases are not available on this platform.
As a workaround, you can link this account to an account on
another platform and make purchases there.","Valitettavasti ostokset eivät ole saatavilla tällä alustalla.
Kiertokeinona voit linkittää tämän tilin tiliin, jossa on
toiselle alustalle ja tehdä ostoksia siellä."
700,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'unavailableTemporarilyText']","Shown when trying to click an option in the Get-Tickets window that is *temporarily* offline or unavailable.
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",This is currently unavailable; please try again later.,Tämä ei ole tällä hetkellä saatavilla; yritä myöhemmin uudelleen.
701,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'unavailableText']","Shown when trying to click an option in the Get-Tickets window that is unavailable in the current version.
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png","Sorry, this is not available.",Valitettavasti tämä ei ole saatavilla.
702,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'versionTooOldText']",error shown when trying to perform an operation on an outdated version of the game,"Sorry, this version of the game is too old; please update to a newer one.",Valitettavasti tämä versio pelistä on liian vanha; päivitä uudempaan.
703,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'youHaveShortText']",a more compact phrase for displaying your ticket count,you have ${COUNT},sinulla on ${COUNT}
704,d41d8cd98f00b204e9800998ecf8427e,"['getTicketsWindow', 'youHaveText']","shows your current ticket count in the get-tickets window; the part before ${COUNT} will be above the number and the part after ${COUNT} will be below it
Context Image: http://files.froemling.net/translateGuideImages/getTickets.png",you have ${COUNT} tickets,sinulla on ${COUNT} lippua
705,d41d8cd98f00b204e9800998ecf8427e,"['goldPass', 'desc1InfTokensText']","Part of description for Gold Pass
Context Image: http://files.froemling.net/translateGuideImages/tokenStore.png",Infinite tokens.,Loputon tokeneja.
706,d41d8cd98f00b204e9800998ecf8427e,"['goldPass', 'desc2NoAdsText']","Part of description for Gold Pass
Context Image: http://files.froemling.net/translateGuideImages/tokenStore.png",No ads.,Ei mainoksia.
707,d41d8cd98f00b204e9800998ecf8427e,"['goldPass', 'desc3ForeverText']","Part of description for Gold Pass
Context Image: http://files.froemling.net/translateGuideImages/tokenStore.png",Forever.,Ikuisesti.
708,d41d8cd98f00b204e9800998ecf8427e,"['goldPass', 'goldPassText']","Translated Gold Pass name
Context Image: http://files.froemling.net/translateGuideImages/tokenStore.png",Gold Pass,Kulta Passi
709,d41d8cd98f00b204e9800998ecf8427e,['googlePlayPurchasesNotAvailableText'],,"Google Play purchases are not available.
You may need to update your store app.","Google Play -ostokset eivät ole saatavilla.
Sinun on ehkä päivitettävä kauppasovelluksesi."
710,d41d8cd98f00b204e9800998ecf8427e,['googlePlayServicesNotAvailableText'],,"Google Play Services is not available.
Some app functionality may be disabled.","Google Play Palvelut eivät ole saatavilla.
Jotkin sovellusten toiminnot voivat olla poissa käytöstä."
711,d41d8cd98f00b204e9800998ecf8427e,['googlePlayText'],used for anything referring to Google Play (Google's store/game-service),Google Play,Google Play
712,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'alwaysText']",,Always,Aina
713,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'fullScreenCmdText']",,Fullscreen (Cmd-F),Koko näyttö (Cmd-F)
714,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'fullScreenCtrlText']",,Fullscreen (Ctrl-F),Koko näyttö (Ctrl-F)
715,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'fullScreenText']",,Fullscreen,Koko näyttö
716,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'gammaText']",gamma (brightness) control label,Gamma,Gamma
717,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'higherText']",,Higher,Korkeampi
718,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'highText']",,High,Korkea
719,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'lowText']",,Low,Matala
720,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'maxFPSText']",,Max FPS,Max FPS
721,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'mediumText']",,Medium,Keskikokoinen
722,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'neverText']",,Never,Ei koskaan
723,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'resolutionText']",,Resolution,Resoluutio
724,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'showFPSText']",,Show FPS,Näytä FPS
725,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'texturesText']",,Textures,Tekstuurit
726,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'titleText']",,Graphics,Grafiikka
727,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'tvBorderText']",,TV Border,TV:n reuna
728,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'verticalSyncText']",,Vertical Sync,Pystysuora synkronointi
729,d41d8cd98f00b204e9800998ecf8427e,"['graphicsSettingsWindow', 'visualsText']",,Visuals,Visuaalisuus
730,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'bombInfoText']","info about bombs in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png","- Bomb -
Stronger than punches, but
can result in grave self-injury.
For best results, throw towards
enemy before fuse runs out.","- Pommi -
Voimakkaampi kuin lyöntejä, mutta
voi johtaa vakavaan itsensä vahingoittamiseen.
Saat parhaat tulokset heittämällä kohti
vihollinen ennen kuin sulake loppuu."
731,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'canHelpText']","part of the description in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png",${APP_NAME} can help.,${APP_NAME} voi auttaa.
732,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'controllersInfoText']","info about controllers in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png","You can play ${APP_NAME} with friends over a network, or you
can all play on the same device if you have enough controllers.
${APP_NAME} supports a variety of them; you can even use phones
as controllers via the free '${REMOTE_APP_NAME}' app.
See Settings->Controllers for more info.","Voit pelata peliä ${APP_NAME} ystävien kanssa verkon kautta tai itse
kaikki voivat pelata samalla laitteella, jos sinulla on tarpeeksi ohjaimia.
${APP_NAME} tukee useita niistä; voit jopa käyttää puhelimia
ohjaimina ilmaisen ${REMOTE_APP_NAME}-sovelluksen kautta.
Katso lisätietoja kohdasta Asetukset-> Ohjaimet."
733,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'controllersInfoTextRemoteOnly']","info about controllers on devices that do not support hardware controllers being attached (so the remote app is the only option)
Context Image: http://files.froemling.net/translateGuideImages/help1c.png","You can play ${APP_NAME} with friends over a network, or you
can all play on the same device by using phones as
controllers via the free '${REMOTE_APP_NAME}' app.","Voit pelata peliä ${APP_NAME} ystävien kanssa verkon kautta tai itse
voivat kaikki pelata samalla laitteella käyttämällä puhelimia kuin
ohjaimia ilmaisen ${REMOTE_APP_NAME}-sovelluksen kautta."
734,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'controllersText']","title for the ""Controllers"" section in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png",Controllers,Ohjaimet
735,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'controlsSubtitleText']","subtitle for the ""Controls"" section in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png",Your friendly ${APP_NAME} character has a few basic actions:,Ystävällisellä ${APP_NAME}-hahmollasi on muutama perustoiminto:
736,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'controlsText']","title of the ""Controls"" section in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png",Controls,Säätimet
737,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'devicesInfoText']","info about devices in the help window on the VR version of the game
Context Image: http://files.froemling.net/translateGuideImages/help1b.png","The VR version of ${APP_NAME} can be played over the network with
the regular version, so whip out your extra phones, tablets,
and computers and get your game on.  It can even be useful to
connect a regular version of the game to the VR version just to
allow people outside to watch the action.","${APP_NAME}:n VR-versiota voi pelata verkon kautta
tavallinen versio, joten hanki ylimääräiset puhelimet, tabletit,
ja tietokoneita ja käynnistä pelisi.  Siitä voi olla jopa hyötyä
yhdistä pelin tavallinen versio VR-versioon vain
anna ulkopuolisten seurata toimintaa."
738,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'devicesText']","title for the ""Devices"" section, which shows up on the VR version instead of ""Controllers"" (since you can't really share a VR headset)
Context Image: http://files.froemling.net/translateGuideImages/help1b.png",Devices,Laitteet
739,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'friendsGoodText']","description for the ""Friends"" section in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png","These are good to have.  ${APP_NAME} is most fun with several
players and can support up to 8 at a time, which leads us to:","Näitä on hyvä olla.  ${APP_NAME} on hauskinta useiden kanssa
pelaajia ja voi tukea jopa 8:aa kerrallaan, mikä johtaa:"
740,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'friendsText']",,Friends,Ystävät
741,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'jumpInfoText']","info about jumping in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png","- Jump -
Jump to cross small gaps,
to throw things higher, and
to express feelings of joy.","- Hyppää -
Hyppää ylittämään pieniä aukkoja,
heittää asioita korkeammalle ja
ilmaisemaan ilon tunteita."
742,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'orPunchingSomethingText']","part of the description in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png","Or punching something, throwing it off a cliff, and blowing it up on the way down with a sticky bomb.","Tai lyömällä jotain, heittämällä sen alas kalliolta ja puhaltamalla sitä alaspäin tahmealla pommilla."
743,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'pickUpInfoText']","info about picking stuff up in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png","- Pick Up -
Grab flags, enemies, or anything
else not bolted to the ground.
Press again to throw.","- Nouto -
Tartu lippuihin, vihollisiin tai mihin tahansa
muuten ei ole pultattu maahan.
Paina uudelleen heittääksesi."
744,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupBombDescriptionText']","description for the triple-bomb powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png","Lets you whip out three bombs
in a row instead of just one.","Voit lyödä kolme pommia
peräkkäin yhden sijasta."
745,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupBombNameText']","name for the triple-bomb powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png",Triple-Bombs,Kolmoispommit
746,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupCurseDescriptionText']","description for the curse powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","You probably want to avoid these.
 ...or do you?","Haluat todennäköisesti välttää näitä.
 ...vai sinä?"
747,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupCurseNameText']","name for the curse powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Curse,Kirous
748,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupHealthDescriptionText']","description for the health powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","Restores you to full health.
You'd never have guessed.","Palauttaa sinut täyteen terveyteen.
Et olisi koskaan arvannut."
749,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupHealthNameText']","name for the health powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Med-Pack,Med-Pack
750,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupIceBombsDescriptionText']","description for the Ice-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","Weaker than normal bombs
but leave your enemies frozen
and particularly brittle.","Normaalia heikommat pommit
mutta jätä vihollisesi jäätymään
ja erityisen hauras."
751,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupIceBombsNameText']","name for the Ice-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Ice-Bombs,Jääpommit
752,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupImpactBombsDescriptionText']","description for the Trigger-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","Slightly weaker than regular
bombs, but they explode on impact.","Hieman normaalia heikompi
pommeja, mutta ne räjähtävät törmäyksessä."
753,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupImpactBombsNameText']","name for the Trigger-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Trigger-Bombs,Liipaisupommit
754,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupLandMinesDescriptionText']","description for the Land-Mines powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","These come in packs of 3;
Useful for base defense or
stopping speedy enemies.","Näitä tulee 3 kappaleen pakkauksissa;
Hyödyllinen peruspuolustukseen tai
pysäyttää nopeita vihollisia."
755,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupLandMinesNameText']","name for the Land-Mines powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Land-Mines,Maamiinat
756,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupPunchDescriptionText']","description for the Boxing-Gloves powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png","Makes your punches harder,
faster, better, stronger.","Tekee lyönnistäsi kovempia,
nopeampi, parempi, vahvempi."
757,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupPunchNameText']","name for the Boxing-Gloves powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png",Boxing-Gloves,Nyrkkeilyhanskat
758,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupShieldDescriptionText']","description for the Energy-Shield powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png","Absorbs a bit of damage
so you don't have to.","Imee hieman vaurioita
joten sinun ei tarvitse."
759,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupShieldNameText']","name for the Energy-Shield powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help3.png",Energy-Shield,Energy-Shield
760,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupsSubtitleText']","subtitle for the powerups section in the help menu
Context Image: http://files.froemling.net/translateGuideImages/help3.png","Of course, no game is complete without powerups:",Tietenkään mikään peli ei ole täydellinen ilman lisävoimia:
761,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupsText']","title for the powerups section in the help menu
Context Image: http://files.froemling.net/translateGuideImages/help3.png",Powerups,Tehot
762,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupStickyBombsDescriptionText']","description for the Sticky-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png","Stick to anything they hit.
Hilarity ensues.","Pidä kiinni kaikesta, mitä he osuvat.
Siitä seuraa iloisuus."
763,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'powerupStickyBombsNameText']","name for the Sticky-Bombs powerup the help window
Context Image: http://files.froemling.net/translateGuideImages/help4.png",Sticky-Bombs,Tarrapommit
764,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'punchInfoText']","info about punching in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png","- Punch -
Punches do more damage the
faster your fists are moving, so
run and spin like a madman.","- Lyö -
Iskut tekevät enemmän vahinkoa
nopeammin nyrkkisi liikkuvat, joten
juokse ja pyöri kuin hullu."
765,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'runInfoText']","info about running in the help window
Context Image: http://files.froemling.net/translateGuideImages/help2.png","- Run -
Hold ANY button to run. Triggers or shoulder buttons work well if you have them.
Running gets you places faster but makes it hard to turn, so watch out for cliffs.","- Juokse -
Pidä mitä tahansa painiketta painettuna ajaaksesi. Liipaisimet tai olkanapit toimivat hyvin, jos sinulla on niitä.
Juoksemalla pääset paikkoja nopeammin, mutta vaikeuttavat kääntymistä, joten varo kallioita."
766,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'someDaysText']","part of the description in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png",Some days you just feel like punching something.  Or blowing something up.,Joinakin päivinä tekee mieli lyödä jotain.  Tai räjäyttää jotain.
767,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'titleText']","title of the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png",${APP_NAME} Help,${APP_NAME} Apua
768,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'toGetTheMostText']","part of the description in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png","To get the most out of this game, you'll need:","Jotta saat kaiken irti tästä pelistä, tarvitset:"
769,d41d8cd98f00b204e9800998ecf8427e,"['helpWindow', 'welcomeText']","part of the description in the help window
Context Image: http://files.froemling.net/translateGuideImages/help1.png",Welcome to ${APP_NAME}!,Tervetuloa ${APP_NAME}:een!
770,d41d8cd98f00b204e9800998ecf8427e,['holdAnyButtonText'],,<hold any button>,<pidä mitä tahansa painiketta painettuna>
771,d41d8cd98f00b204e9800998ecf8427e,['holdAnyKeyText'],,<hold any key>,<pidä mitä tahansa näppäintä>
772,d41d8cd98f00b204e9800998ecf8427e,['hostIsNavigatingMenusText'],"shown on a client anytime the host they're connected to is navigating through menus (""like a boss"" is just intended to be humorous; feel free to leave that out of the translation)
Context Image: http://files.froemling.net/translateGuideImages/hostNavigating.png",- ${HOST} is navigating menus like a boss -,- ${HOST} liikkuu valikoissa kuin pomo -
773,d41d8cd98f00b204e9800998ecf8427e,['importingText'],message printed while in the process of importing something (such as a playlist someone shared with you),Importing...,Tuodaan...
774,d41d8cd98f00b204e9800998ecf8427e,['importPlaylistCodeInstructionsText'],Instructions shown alongside a code that can be used to import a playlist,Use the following code to import this playlist elsewhere:,Käytä seuraavaa koodia tuodaksesi tämän soittolistan muualle:
775,d41d8cd98f00b204e9800998ecf8427e,['importPlaylistSuccessText'],message printed after successfully importing a playlist.  ${TYPE} will be either Free-For-All or Teams and ${NAME} is the name of the playlist.,Imported ${TYPE} playlist '${NAME}',Tuotu ${TYPE} soittolista ${NAME}
776,d41d8cd98f00b204e9800998ecf8427e,['importText'],"generic label for a command to import some item from another account/etc. (playlist, soundtrack, player-profile, etc)",Import,Tuoda
777,d41d8cd98f00b204e9800998ecf8427e,['inboxText'],"Label for a window where users can see messages relating to their account (tournament results, etc.)",Inbox,Saapuneet
778,d41d8cd98f00b204e9800998ecf8427e,['inGameClippedNameText'],"A message shown when editing a profile name if the name is long enough to be clipped in-game
Context Image: http://files.froemling.net/translateGuideImages/clippedName.png","in-game will be
""${NAME}""","pelin sisällä tulee olemaan
""${NAME}"""
779,d41d8cd98f00b204e9800998ecf8427e,['installDiskSpaceErrorText'],an error that pops up on the android version during first launch if there's not enough space to complete the install,"ERROR: Unable to complete the install.
You may be out of space on your device.
Clear some space and try again.","VIRHE: Asennusta ei voi suorittaa loppuun.
Laitteesi tila saattaa olla lopussa.
Tyhjennä tilaa ja yritä uudelleen."
780,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'arrowsToExitListText']",shown when stuck at the beginning or end of a list so the user knows how to move past it (such as the teams game-list selector),press ${LEFT} or ${RIGHT} to exit list,poistu luettelosta painamalla ${LEFT} tai ${RIGHT}
781,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'buttonText']",,button,-painiketta
782,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'cantKickHostError']",Error message you get if you try to kick the party/game host,You can't kick the host.,Et voi potkia isäntiä.
783,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'chatBlockedText']",Message the server sends when someone has been chat-blocked (for doing things like chat-spamming),${NAME} is chat-blocked for ${TIME} seconds.,${NAME} on chat-estetty ${TIME} sekunniksi.
784,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectedToGameText']",Shown when connecting to a game/party that has a name,Joined '${NAME}',Liittyi ryhmään ${NAME}
785,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectedToPartyText']",printed onscreen when you join someone's party (a party is a group used for network-play),Joined ${NAME}'s party!,Liityi käyttäjän ${NAME} juhliin!
786,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectingToPartyText']",printed onscreen when you first start connecting to someone's party (a party is a group used for network-play),Connecting...,Yhdistetään...
787,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectionFailedHostAlreadyInPartyText']",an error message printed when failing to join a party,Connection failed; host is in another party.,Yhteys epäonnistui; isäntä on toisessa puolueessa.
788,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectionFailedPartyFullText']",Message the server sends when you try to join a party that is already full,Connection failed; the party is full.,Yhteys epäonnistui; juhlat ovat täynnä.
789,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectionFailedText']",an error message printed when failing to join a party (generic),Connection failed.,Yhteys epäonnistui.
790,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectionFailedVersionMismatchText']",an error message printed when trying to connect to someone running a different version of the game,"Connection failed; host is running a different version of the game.
Make sure you are both up-to-date and try again.","Yhteys epäonnistui; isäntä käyttää eri versiota pelistä.
Varmista, että olette molemmat ajan tasalla ja yritä uudelleen."
791,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'connectionRejectedText']",an error message printed when a host has rejected a client connection (because they're full or something like that),Connection rejected.,Yhteys hylätty.
792,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerConnectedText']",shown when a new controller is connected,${CONTROLLER} connected.,${CONTROLLER} yhdistetty.
793,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerDetectedText']",shown on startup when a single controller is found.,1 controller detected.,1 ohjain havaittu.
794,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerDisconnectedText']",shown when a controller is disconnected from the game,${CONTROLLER} disconnected.,${CONTROLLER} yhteys katkaistu.
795,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerDisconnectedTryAgainText']",shown for certain controllers that can fail and require reconnecting,${CONTROLLER} disconnected. Please try connecting again.,${CONTROLLER} yhteys katkaistu. Yritä muodostaa yhteys uudelleen.
796,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerForMenusOnlyText']","Error message printed when someone tries to join using a controller that is only allowed to be used in menus (simple remotes, etc)",This controller can not be used to play; only to navigate menus.,Tätä ohjainta ei voi käyttää pelaamiseen; vain valikoissa liikkumiseen.
797,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllerReconnectedText']",shown when a controller that was previously disconnected is reconnected,${CONTROLLER} reconnected.,${CONTROLLER} yhdistetty uudelleen.
798,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllersConnectedText']",shown when more than one controller is connected at once.,${COUNT} controllers connected.,${COUNT} ohjainta kytketty.
799,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllersDetectedText']",shown on startup when more than one controller is found.,${COUNT} controllers detected.,${COUNT} ohjainta havaittu.
800,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'controllersDisconnectedText']",shown when more than one controller is disconnected at once.,${COUNT} controllers disconnected.,${COUNT} ohjainta irrotettu.
801,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'corruptFileText']",error shown if the game is unable to load any of its internal media files (saying that the game is messed up and needs to be reinstalled),"Corrupt file(s) detected. Please try re-installing, or email ${EMAIL}",Vioittuneet tiedostot havaittu. Yritä asentaa uudelleen tai lähetä sähköpostia osoitteeseen ${EMAIL}
802,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'errorPlayingMusicText']",,Error playing music: ${MUSIC},Virhe musiikin toistossa: ${MUSIC}
803,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'errorResettingAchievementsText']",,Unable to reset online achievements; please try again later.,Verkkosaavutuksia ei voi nollata. yritä myöhemmin uudelleen.
804,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'hasMenuControlText']",,${NAME} has menu control.,${NAME}:ssa on valikkohallinta.
805,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'incompatibleNewerVersionHostText']",,"Host is running a newer version of the game.
Update to the latest version and try again.","Host käyttää uudempaa versiota pelistä.
Päivitä uusimpaan versioon ja yritä uudelleen."
806,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'incompatibleVersionHostText']",an error message printed when trying to connect to a host running a different version of the game,"Host is running a different version of the game.
Make sure you are both up-to-date and try again.","Isäntä käyttää eri versiota pelistä.
Varmista, että olette molemmat ajan tasalla ja yritä uudelleen."
807,d41d8cd98f00b204e9800998ecf8427e,"['internal', 'incompatibleVersionPlayerText']",an error message printed when trying to connect to a player running a different version of the game,"${NAME} is running a different version of the game.
Make sure you are both up-to-date and try again.","${NAME} käyttää eri versiota pelistä.
Varmista, että olette molemmat ajan tasalla ja yritä uudelleen."
